main_category_id,main_category,subcategory,service,serviceLink
4,"Travel, Tourism &  Lesiure",Leisure,Visit to Haldummulla Herbal Garden,https://gic.gov.lk/gic/index.php/en/component/info/?id=955&catid=91&task=info
4,"Travel, Tourism &  Lesiure",Leisure,Reach to Pinnawala Elephant Orphanage,https://gic.gov.lk/gic/index.php/en/component/info/?id=1164&catid=91&task=info
4,"Travel, Tourism &  Lesiure",Leisure,Visit to Other Herbal Gardens,https://gic.gov.lk/gic/index.php/en/component/info/?id=1213&catid=91&task=info
4,"Travel, Tourism &  Lesiure",Leisure,Aquarium of National Zoological Gardens,https://gic.gov.lk/gic/index.php/en/component/info/?id=607&catid=91&task=info
4,"Travel, Tourism &  Lesiure",Leisure,State-Short Drama Contest  & Festival,https://gic.gov.lk/gic/index.php/en/component/info/?id=632&catid=91&task=info
4,"Travel, Tourism &  Lesiure",Leisure,State Drama Contest & Festival,https://gic.gov.lk/gic/index.php/en/component/info/?id=631&catid=91&task=info
4,"Travel, Tourism &  Lesiure",Leisure,Reservation  John de Silva Memorial Theatre Hall,https://gic.gov.lk/gic/index.php/en/component/info/?id=630&catid=91&task=info
4,"Travel, Tourism &  Lesiure",Leisure,State Children's Drama Contest & Festival,https://gic.gov.lk/gic/index.php/en/component/info/?id=633&catid=91&task=info
4,"Travel, Tourism &  Lesiure",Leisure,State Dance Contest  & Festival,https://gic.gov.lk/gic/index.php/en/component/info/?id=634&catid=91&task=info
4,"Travel, Tourism &  Lesiure",Leisure,Obtaining Kala duwa in the Bairai lake on rent basis for various requirments,https://gic.gov.lk/gic/index.php/en/component/info/?id=714&catid=91&task=info
4,"Travel, Tourism &  Lesiure",Leisure,Visitor Information,https://gic.gov.lk/gic/index.php/en/component/info/?id=613&catid=91&task=info
4,"Travel, Tourism &  Lesiure",Leisure,State Arts and Sculpture Contest &  Festival,https://gic.gov.lk/gic/index.php/en/component/info/?id=638&catid=91&task=info
